inst#,actual,predicted,error,prediction
131,15:O,41:o,+,0.667
132,45:s,29:c,+,1
133,11:K,44:r,+,0.667
134,35:i,35:i,,0.958
135,36:j,36:j,,0.938
136,48:w,37:k,+,0.8
137,14:N,1:A,+,0.5
138,16:P,16:P,,0.9
139,51:z,24:X,+,0.5
140,37:k,37:k,,0.933
141,47:v,47:v,,1
142,37:k,22:V,+,1
143,15:O,3:C,+,0.833
144,36:j,36:j,,0.938
145,12:L,12:L,,0.971
146,35:i,35:i,,0.958
147,24:X,49:x,+,1
148,33:g,42:p,+,0.917
149,27:a,5:E,+,0.5
150,5:E,6:F,+,0.875
151,16:P,18:R,+,1
152,28:b,28:b,,1
153,9:I,38:l,+,0.778
154,45:s,45:s,,0.875
155,12:L,34:h,+,0.8
156,26:Z,39:m,+,1
157,17:Q,15:O,+,1
158,8:H,14:N,+,1
159,44:r,47:v,+,0.833
160,51:z,42:p,+,0.833
161,12:L,12:L,,0.971
162,10:J,10:J,,1
163,3:C,3:C,,0.833
164,21:U,21:U,,1
165,41:o,48:w,+,1
166,43:q,20:T,+,0.667
167,1:A,1:A,,0.5
168,1:A,40:n,+,1
169,10:J,45:s,+,0.667
170,26:Z,26:Z,,1
171,49:x,47:v,+,1
172,14:N,14:N,,1
173,29:c,42:p,+,0.833
174,45:s,19:S,+,1
175,7:G,2:B,+,0.5
176,44:r,6:F,+,0.875
177,46:u,12:L,+,1
178,7:G,39:m,+,0.667
179,31:e,31:e,,0.667
180,34:h,24:X,+,0.333
181,13:M,13:M,,1
182,30:d,37:k,+,0.5
183,26:Z,51:z,+,1
184,48:w,44:r,+,1
185,7:G,45:s,+,0.875
186,12:L,12:L,,0.971
187,42:p,42:p,,0.833
188,1:A,17:Q,+,0.5
189,13:M,39:m,+,1
190,51:z,5:E,+,1
191,21:U,12:L,+,0.833
192,14:N,1:A,+,0.5
193,6:F,7:G,+,1
194,39:m,27:a,+,0.895
195,8:H,10:J,+,1
196,47:v,47:v,,0.833
197,21:U,21:U,,0.5
198,12:L,19:S,+,0.5
199,17:Q,19:S,+,0.75
200,1:A,1:A,,1
201,16:P,6:F,+,1
202,48:w,29:c,+,0.5
203,47:v,23:W,+,0.5
204,43:q,31:e,+,0.889
205,44:r,3:C,+,0.833
206,8:H,8:H,,1
207,48:w,26:Z,+,0.667
208,23:W,48:w,+,0.889
209,15:O,31:e,+,1
210,10:J,10:J,,0.833
211,21:U,21:U,,0.5
212,11:K,34:h,+,0.958
213,16:P,32:f,+,0.5
214,46:u,8:H,+,0.75
215,26:Z,37:k,+,0.667
216,18:R,18:R,,1
217,13:M,37:k,+,0.5
218,12:L,34:h,+,0.8
219,21:U,46:u,+,1
220,23:W,46:u,+,1
221,4:D,10:J,+,1
222,30:d,30:d,,1
223,34:h,34:h,,0.958
224,2:B,4:D,+,1
225,12:L,12:L,,0.833
226,36:j,33:g,+,0.5
227,34:h,8:H,+,1
228,40:n,41:o,+,1
229,45:s,45:s,,1
230,26:Z,5:E,+,0.5
231,25:Y,25:Y,,1
232,47:v,34:h,+,0.958
233,45:s,44:r,+,1
234,35:i,35:i,,0.958
235,18:R,18:R,,0.875
236,40:n,13:M,+,0.667
237,19:S,3:C,+,0.5
238,51:z,51:z,,0.857
239,34:h,34:h,,1
240,47:v,21:U,+,1
241,30:d,21:U,+,0.5
242,11:K,11:K,,0.8
243,9:I,44:r,+,1
244,10:J,4:D,+,1
245,51:z,40:n,+,0.75
246,22:V,22:V,,1
247,47:v,47:v,,1
248,28:b,28:b,,1
249,49:x,49:x,,0.8
250,42:p,16:P,+,1
251,28:b,12:L,+,0.833
252,1:A,24:X,+,0.5
253,33:g,1:A,+,0.833
254,49:x,24:X,+,1
255,37:k,47:v,+,0.833
256,29:c,6:F,+,0.8
257,12:L,13:M,+,1
258,40:n,31:e,+,1
259,9:I,38:l,+,0.778
260,46:u,12:L,+,1
261,19:S,13:M,+,0.5
262,4:D,2:B,+,1
263,6:F,44:r,+,1
264,47:v,21:U,+,0.5
265,45:s,19:S,+,1
266,19:S,19:S,,1
267,41:o,15:O,+,1
268,34:h,28:b,+,1
269,11:K,11:K,,0.8
270,29:c,29:c,,0.667
271,17:Q,17:Q,,1
272,43:q,42:p,+,0.917
273,30:d,49:x,+,0.8
274,43:q,6:F,+,0.875
275,30:d,8:H,+,0.75
276,7:G,14:N,+,0.333
277,31:e,45:s,+,1
278,40:n,4:D,+,1
279,30:d,21:U,+,0.5
280,18:R,18:R,,1
281,25:Y,48:w,+,1
282,51:z,13:M,+,0.5
283,3:C,41:o,+,0.875
284,17:Q,15:O,+,0.667
285,43:q,43:q,,0.875
286,19:S,19:S,,1
287,23:W,47:v,+,1
288,27:a,5:E,+,0.5
289,50:y,50:y,,0.818
290,10:J,30:d,+,0.667
291,17:Q,15:O,+,1
292,33:g,44:r,+,1
293,12:L,12:L,,0.971
294,18:R,5:E,+,1
295,43:q,43:q,,1
296,14:N,50:y,+,1
297,25:Y,25:Y,,0.667
298,33:g,43:q,+,1
299,5:E,10:J,+,0.833
300,8:H,8:H,,1
301,25:Y,25:Y,,1
302,41:o,40:n,+,0.75
303,24:X,12:L,+,1
304,21:U,10:J,+,1
305,20:T,20:T,,0.667
306,38:l,38:l,,0.778
307,5:E,6:F,+,1
308,15:O,2:B,+,0.5
309,47:v,23:W,+,1
310,11:K,13:M,+,0.667
311,23:W,13:M,+,0.333
312,18:R,42:p,+,0.917
313,20:T,20:T,,0.947
314,32:f,44:r,+,0.833
315,38:l,37:k,+,0.5
316,42:p,31:e,+,1
317,51:z,51:z,,0.8
318,37:k,47:v,+,0.833
319,22:V,22:V,,0.882
320,9:I,9:I,,0.667
321,22:V,22:V,,1
322,16:P,16:P,,1
323,19:S,19:S,,1
324,31:e,31:e,,0.889
325,6:F,20:T,+,0.8
326,8:H,8:H,,0.889
327,27:a,15:O,+,0.833
328,18:R,15:O,+,1
329,7:G,7:G,,1
330,15:O,41:o,+,0.75
331,34:h,12:L,+,0.833
332,10:J,4:D,+,0.5
333,31:e,31:e,,0.5
334,27:a,46:u,+,1
335,25:Y,50:y,+,1
336,29:c,5:E,+,0.667
337,7:G,7:G,,0.833
338,13:M,14:N,+,0.333
339,20:T,20:T,,0.947
340,24:X,50:y,+,1
341,38:l,36:j,+,1
342,11:K,11:K,,0.95
343,50:y,49:x,+,0.857
344,41:o,15:O,+,1
345,43:q,31:e,+,1
346,46:u,8:H,+,0.75
347,1:A,44:r,+,1
348,45:s,19:S,+,1
349,2:B,51:z,+,1
350,40:n,40:n,,1
351,23:W,48:w,+,0.667
352,22:V,22:V,,0.882
353,42:p,16:P,+,1
354,10:J,10:J,,1
355,4:D,41:o,+,0.5
356,29:c,29:c,,1
357,9:I,38:l,+,0.778
358,29:c,29:c,,1
359,26:Z,5:E,+,0.667
360,50:y,11:K,+,0.5
361,3:C,3:C,,0.833
362,38:l,38:l,,0.667
363,41:o,17:Q,+,1
364,16:P,16:P,,0.667
365,16:P,16:P,,0.9
366,36:j,37:k,+,0.5
367,9:I,9:I,,1
368,43:q,43:q,,0.875
369,12:L,12:L,,0.971
370,2:B,18:R,+,1
371,20:T,9:I,+,1
372,46:u,46:u,,1
373,8:H,22:V,+,0.5
374,18:R,32:f,+,0.333
375,12:L,14:N,+,1
376,34:h,34:h,,0.958
377,41:o,40:n,+,0.667
378,44:r,50:y,+,1
379,25:Y,49:x,+,1
380,14:N,30:d,+,0.667
381,31:e,31:e,,0.5
382,13:M,40:n,+,0.75
383,9:I,51:z,+,0.8
384,20:T,20:T,,0.947
385,13:M,13:M,,1
386,39:m,39:m,,0.667
387,27:a,41:o,+,0.5
388,37:k,37:k,,0.933
389,42:p,26:Z,+,0.667
390,28:b,28:b,,1
391,22:V,22:V,,1
392,4:D,40:n,+,1
393,23:W,23:W,,1
394,43:q,14:N,+,0.333
395,39:m,39:m,,1
396,48:w,34:h,+,0.958
397,14:N,14:N,,0.833
398,18:R,20:T,+,0.667
399,21:U,14:N,+,1
400,1:A,1:A,,0.875
401,30:d,28:b,+,1
402,34:h,34:h,,0.958
403,15:O,15:O,,0.75
404,19:S,26:Z,+,0.667
405,31:e,6:F,+,0.8
406,14:N,14:N,,0.833
407,5:E,5:E,,0.857
408,42:p,42:p,,0.917
409,17:Q,3:C,+,0.833
410,4:D,10:J,+,0.833
411,12:L,12:L,,0.971
412,7:G,3:C,+,1
413,27:a,17:Q,+,0.75
414,24:X,24:X,,1
415,6:F,20:T,+,0.947
416,19:S,45:s,+,0.875
417,40:n,42:p,+,0.917
418,51:z,13:M,+,0.5
419,4:D,4:D,,1
420,5:E,51:z,+,0.8
421,49:x,13:M,+,0.333
422,32:f,1:A,+,0.875
423,2:B,41:o,+,0.5
424,17:Q,15:O,+,0.75
425,6:F,51:z,+,1
426,31:e,6:F,+,0.5
427,3:C,3:C,,0.833
428,23:W,8:H,+,0.5
429,8:H,16:P,+,1
430,31:e,46:u,+,1
431,13:M,14:N,+,1
432,1:A,41:o,+,0.5
433,24:X,13:M,+,0.667
434,16:P,42:p,+,0.833
435,5:E,26:Z,+,0.667
436,8:H,8:H,,1
437,14:N,14:N,,1
438,37:k,37:k,,0.933
439,38:l,31:e,+,1
440,17:Q,15:O,+,0.75
441,27:a,27:a,,0.895
442,18:R,43:q,+,0.75
443,16:P,20:T,+,0.8
444,48:w,1:A,+,0.5
445,17:Q,18:R,+,1
446,37:k,48:w,+,1
447,11:K,11:K,,0.95
448,49:x,24:X,+,1
449,46:u,41:o,+,0.889
450,39:m,12:L,+,0.5
451,3:C,3:C,,0.833
452,44:r,51:z,+,1
453,7:G,7:G,,1
454,40:n,40:n,,1
455,3:C,29:c,+,0.889
456,9:I,38:l,+,0.778
457,28:b,28:b,,0.667
458,24:X,49:x,+,1
459,8:H,8:H,,1
460,2:B,9:I,+,1
461,39:m,24:X,+,0.333
462,25:Y,43:q,+,1
463,22:V,49:x,+,0.75
464,6:F,4:D,+,1
465,24:X,25:Y,+,1
466,33:g,43:q,+,1
467,45:s,7:G,+,0.941
468,50:y,24:X,+,0.5
469,22:V,22:V,,1
470,49:x,47:v,+,1
471,9:I,9:I,,1
472,32:f,38:l,+,0.667
473,5:E,51:z,+,0.8
474,25:Y,13:M,+,1
475,23:W,22:V,+,0.882
476,3:C,3:C,,1
477,10:J,4:D,+,1
478,33:g,31:e,+,1
479,27:a,29:c,+,1
480,47:v,47:v,,1
481,17:Q,15:O,+,1
482,15:O,15:O,,0.75
483,40:n,13:M,+,0.5
484,26:Z,18:R,+,1
485,50:y,13:M,+,1
486,11:K,11:K,,0.95
487,32:f,32:f,,0.667
488,8:H,34:h,+,0.958
489,33:g,16:P,+,0.5
490,18:R,19:S,+,0.5
491,9:I,9:I,,1
492,31:e,15:O,+,0.75
493,3:C,7:G,+,1
494,44:r,44:r,,1
495,44:r,1:A,+,0.875
496,43:q,1:A,+,1
497,20:T,20:T,,0.947
498,42:p,11:K,+,0.8
499,38:l,32:f,+,1
500,40:n,40:n,,0.75
501,7:G,7:G,,0.941
502,32:f,42:p,+,0.917
503,30:d,30:d,,0.909
504,38:l,9:I,+,0.667
505,2:B,4:D,+,0.5
506,36:j,1:A,+,0.5
507,42:p,3:C,+,1
508,13:M,23:W,+,1
509,4:D,51:z,+,1
510,38:l,35:i,+,0.5
511,36:j,21:U,+,0.5
512,2:B,2:B,,0.875
513,13:M,1:A,+,0.5
514,20:T,20:T,,0.947

